	 M wt (Da) 	 Number of Amnio Acids 	 Charged (DEKHR) 	 Aliphatic (ILV) 	 Aromatic (FHWY) 	 Polar (DERKQN) 	 Neutral (AGHPSTY) 	 Hydrophobic (CFILMVW) 	 + charged (KRH) 	 - charged (DE) 	 Tiny (ACDGST) 	 Small (EHILKMNPQV) 	 Large (FRWY) 
>sp|P40070|LSM4_YEAST	 21253.00 	187	19.25	17.11	8.56	47.59	30.48	21.93	11.77	7.49	25.13	63.10	11.77
>sp|P45973|CBX5_HUMAN	 22200.00 	191	42.41	14.14	8.90	48.17	28.27	23.56	20.94	21.47	29.84	57.59	12.56
>tr|A0A0G2UHG9|A0A0G2UHG9_DOSGI	 20022.00 	193	22.28	12.95	24.35	16.58	64.77	18.65	15.54	6.74	45.08	43.52	11.40
>sp|P0C093|SLMA_ECOLI	 22810.00 	198	30.30	23.74	8.08	36.87	30.30	32.83	16.16	14.14	31.31	50.50	18.18
>sp|P25223|MATRX_RABVC	 23106.00 	202	27.23	22.28	9.90	35.15	31.68	33.17	13.86	13.37	30.20	54.46	15.35
>sp|P04792|HSPB1_HUMAN	 22757.00 	205	26.34	17.07	11.22	28.29	46.83	24.88	13.66	12.68	37.07	46.34	16.59
>sp|P05205|HP1_DROME	 23160.00 	206	36.41	12.62	7.28	43.69	38.35	17.96	16.50	19.90	37.38	50.00	12.62
>sp|Q9NRN9|METL5_HUMAN	 23692.00 	209	30.14	22.97	10.53	34.45	30.62	34.93	15.79	14.35	32.54	55.02	12.44
>tr|E1UZH7|E1UZH7_ECOLX	 22783.00 	211	32.23	17.54	11.37	40.29	37.91	21.80	11.85	20.38	45.02	42.18	12.80
>sp|P29227|HP1_DROVI	 23426.00 	213	32.86	13.14	6.57	40.85	40.85	18.31	14.55	18.31	39.91	47.89	12.21
>sp|P40337|VHL_HUMAN	 24126.00 	213	32.39	20.19	8.92	38.03	35.68	26.29	13.14	19.25	27.70	56.34	15.96
>sp|P62993|GRB2_HUMAN	 25178.00 	217	30.42	17.05	16.13	38.71	30.87	30.41	15.67	14.75	29.03	52.07	18.89
>sp|P32835|GSP1_YEAST	 24782.00 	219	26.48	21.00	12.79	34.70	34.25	31.05	13.70	12.79	30.14	55.25	14.61
>sp|Q01130|SRSF2_HUMAN	 25448.00 	221	40.27	7.69	7.24	39.82	48.41	11.76	30.77	9.50	40.72	29.41	29.86
>sp|P08287|H11L_CHICK	 22501.00 	225	33.33	10.67	0.89	34.67	53.78	11.55	29.78	3.56	44.00	53.33	2.67
>sp|O43809|CPSF5_HUMAN	 26197.00 	227	24.67	23.35	13.66	32.60	34.80	32.60	14.10	10.57	23.35	59.47	17.18
>sp|P60844|AQPZ_ECOLI	 23675.00 	231	10.82	28.14	14.29	11.69	48.05	40.26	6.50	4.33	41.99	43.72	14.29
>tr|X5DSL3|X5DSL3_ANAMA	 26692.00 	236	32.20	16.10	13.14	36.02	38.14	25.85	16.10	16.10	31.36	54.66	13.98
>tr|C5MKY7|C5MKY7_HCMV	 26911.00 	239	28.87	21.34	13.81	33.89	35.98	30.12	14.64	14.23	31.80	55.65	12.55
>sp|Q9TYK1|GAR1_CAEEL	 24599.00 	244	25.82	8.61	11.07	31.56	50.00	18.44	16.80	9.02	50.41	26.23	23.36
>sp|Q15056|IF4H_HUMAN	 27355.00 	248	33.47	12.10	9.27	39.11	40.32	20.56	16.93	16.53	41.93	37.10	20.97
>sp|P17931|LEG3_HUMAN	 26123.00 	250	14.80	15.60	12.00	23.60	54.40	22.00	8.80	6.00	36.80	49.60	13.60
>sp|P04156|PRIO_HUMAN	 27630.00 	253	18.18	13.83	15.41	24.90	48.62	26.48	12.25	5.93	36.76	47.43	15.81
>sp|O43561|LAT_HUMAN	 27899.00 	262	22.14	17.94	8.40	25.19	51.53	23.28	7.25	14.89	40.46	49.24	10.30
>sp|O75494|SRS10_HUMAN	 31266.00 	262	40.46	6.87	12.21	45.04	42.37	12.60	29.77	10.69	36.26	34.35	29.39
>sp|P02945|BACR_HALSA	 28223.00 	262	13.36	29.39	12.21	16.03	42.75	41.22	5.34	8.02	37.79	47.33	14.89
>sp|P03520|PHOSP_VSIVA	 29878.00 	265	30.57	18.49	10.19	37.36	37.36	25.28	11.70	18.87	34.72	53.21	12.07
>sp|Q9Y580|RBM7_HUMAN	 30470.00 	266	29.32	11.65	16.16	34.96	44.36	20.68	18.80	10.53	36.09	44.74	19.17
>sp|P03069|GCN4_YEAST	 31275.00 	281	30.60	20.29	7.12	36.65	37.01	26.34	14.23	16.37	34.88	54.80	10.32
>tr|Q41372|Q41372_SPIOL	 29869.00 	281	14.24	25.27	14.95	17.08	45.20	37.72	9.25	4.98	38.43	46.26	15.30
>sp|O60479|DLX3_HUMAN	 31703.00 	287	19.86	13.24	13.59	27.87	54.36	17.77	12.54	7.32	35.54	50.17	14.29
>tr|Q7SXI8|Q7SXI8_DANRE	 33841.00 	290	39.31	13.10	8.62	46.21	33.10	20.69	20.69	18.62	33.45	50.00	16.55
>sp|P06748|NPM_HUMAN	 32539.00 	294	37.76	15.99	6.12	43.54	33.67	22.79	15.65	22.11	37.41	55.44	7.14
>sp|Q16637|SMN_HUMAN	 31813.00 	294	23.13	13.61	8.50	31.29	45.92	22.79	11.91	11.22	37.41	52.38	10.20
>sp|P22363|PHOSP_RABVC	 33578.00 	297	30.30	20.54	8.08	39.39	31.65	28.96	13.80	16.50	30.98	56.57	12.46
>sp|P46777|RL5_HUMAN	 34323.00 	297	33.34	16.50	12.46	39.73	35.02	25.25	21.55	11.79	29.63	51.52	18.86
>sp|P07222|NPM_XENLA	 33495.00 	299	39.13	16.39	6.02	45.15	33.78	21.07	16.72	22.41	34.78	58.19	7.02
>sp|Q13151|ROA0_HUMAN	 30807.00 	305	21.97	11.80	12.79	26.23	54.75	19.02	13.77	8.20	49.84	34.76	15.41
>sp|Q9H9S0|NANOG_HUMAN	 34581.00 	305	17.05	12.79	10.17	34.75	39.34	25.90	8.85	8.20	33.77	55.08	11.15
>sp|P18573|GDA9_WHEAT	 35357.00 	307	5.86	18.57	8.79	40.72	34.53	24.76	3.91	1.96	15.96	74.59	9.45
>sp|P95648|CBBX_RHOSH	 34645.00 	309	31.39	20.39	9.71	34.95	38.51	26.54	16.51	14.89	34.95	48.22	16.83
>sp|P48431|SOX2_HUMAN	 34271.00 	317	20.82	11.36	9.46	27.76	51.10	21.13	14.20	6.62	38.17	50.47	11.36
>sp|P63244|RACK1_HUMAN	 35037.00 	317	21.77	21.77	11.04	27.44	40.06	32.49	12.30	9.46	41.64	45.43	12.93
>tr|Q94ET8|Q94ET8_CHLRE	 32656.00 	321	18.38	9.66	2.49	22.74	63.86	13.39	14.64	3.74	51.71	34.89	13.39
>sp|P22232|FBRL_XENLA	 34293.00 	323	28.17	18.58	10.84	30.34	43.65	26.01	18.58	9.60	37.77	44.89	17.34
>sp|P26651|TTP_HUMAN	 33965.00 	326	17.48	14.72	8.89	18.10	59.20	22.70	10.74	6.75	44.79	41.41	13.80
>sp|Q15717|ELAV1_HUMAN	 36051.00 	326	23.62	19.32	11.65	31.90	38.65	29.45	14.11	9.51	35.28	49.38	15.34
>sp|O75791|GRAP2_HUMAN	 37867.00 	330	29.70	16.36	15.46	36.06	37.88	26.06	16.97	12.73	30.00	53.03	16.97
>sp|Q99729|ROAA_HUMAN	 36185.00 	332	27.11	10.24	12.65	36.45	45.48	18.07	14.46	12.65	37.95	46.08	15.96
>sp|P19622|HME2_HUMAN	 34173.00 	333	25.23	10.51	5.71	32.73	51.65	15.62	15.02	10.21	46.55	42.64	10.81
>sp|Q94131|PIE1_CAEEL	 38321.00 	335	25.97	10.15	13.73	35.22	44.78	20.00	16.12	9.85	33.43	48.06	18.51
>sp|Q07352|TISB_HUMAN	 36273.00 	338	22.78	14.20	10.95	25.15	50.89	23.96	13.31	9.47	44.38	41.12	14.50
>sp|Q06609|RAD51_HUMAN	 36924.00 	339	25.96	20.36	8.26	31.27	39.82	28.91	12.68	13.27	38.94	48.67	12.39
>tr|Q9XW17|Q9XW17_CAEEL	 37569.00 	340	27.65	12.35	11.77	39.41	42.94	17.65	15.88	11.76	37.06	45.00	17.94
>sp|Q8L3W1|VRN1_ARATH	 39230.00 	341	29.33	18.77	14.96	33.73	36.95	29.32	16.72	12.61	29.91	49.27	20.82
>sp|Q96GD4|AURKB_HUMAN	 39265.00 	344	28.49	22.97	11.63	31.97	36.92	31.11	17.73	10.76	27.03	57.56	15.41
>sp|Q9W1V3|FBRL_DROME	 34598.00 	344	24.71	16.28	9.30	26.45	51.16	22.38	16.57	8.14	44.77	40.41	14.83
>sp|P17676|CEBPB_HUMAN	 36065.00 	345	23.77	11.88	8.99	26.09	55.65	18.26	13.62	10.14	41.16	47.54	11.30
>sp|P31942|HNRH3_HUMAN	 36886.00 	346	24.57	10.69	14.74	28.61	50.29	21.10	13.29	11.27	44.51	35.55	19.94
>sp|Q22053|FBRL_CAEEL	 36342.00 	352	27.56	17.33	9.09	29.26	46.59	24.15	17.90	9.66	42.61	40.34	17.04
>sp|P22626|ROA2_HUMAN	 37389.00 	353	25.50	9.92	13.88	31.73	50.42	17.85	14.45	11.05	43.06	37.96	18.98
>sp|Q14103|HNRPD_HUMAN	 38392.00 	355	27.04	9.58	12.68	35.21	46.76	18.03	14.37	12.68	41.69	43.10	15.21
>sp|Q9BQ04|RBM4B_HUMAN	 40105.00 	359	27.02	14.48	13.37	31.75	46.80	21.45	14.48	12.53	39.00	43.45	17.55
>sp|Q01860|PO5F1_HUMAN	 38527.00 	360	21.11	17.22	9.45	28.89	43.89	27.22	10.56	10.56	35.28	52.78	11.94
>sp|O75683|SURF6_HUMAN	 41403.00 	361	43.49	13.30	3.32	51.24	32.41	16.34	28.53	14.96	30.19	52.63	17.17
>sp|Q9NSC5|HOME3_HUMAN	 39792.00 	361	28.81	16.34	6.93	38.50	39.61	21.88	13.85	14.96	35.73	50.69	13.57
>sp|Q9Z214|HOME1_RAT	 41259.00 	366	30.87	17.76	8.47	40.16	36.34	23.50	15.03	15.85	33.88	55.74	10.38
>sp|Q16533|SNPC1_HUMAN	 42945.00 	368	35.87	17.93	11.14	42.12	29.62	28.26	21.74	14.13	28.53	56.25	15.22
>sp|Q99873|ANM1_HUMAN	 42413.00 	371	28.30	21.83	13.75	31.81	33.69	34.50	13.48	14.82	33.15	51.75	15.10
>sp|P09651|ROA1_HUMAN	 38705.00 	372	23.39	8.87	13.71	30.11	52.42	17.47	13.71	9.68	47.85	33.87	18.28
>sp|P50750|CDK9_HUMAN	 42728.00 	372	27.96	23.12	11.02	35.22	31.72	33.07	16.13	11.83	28.50	56.45	15.05
>sp|O43791|SPOP_HUMAN	 42084.00 	374	27.54	20.05	10.69	33.16	32.89	33.96	13.64	13.90	33.42	53.21	13.37
>sp|Q01085|TIAR_HUMAN	 41544.00 	375	19.47	14.67	13.60	30.40	42.93	26.67	10.93	8.53	35.47	49.87	14.67
>sp|Q96LA8|ANM6_HUMAN	 41890.00 	375	28.80	21.33	10.40	32.27	37.07	30.67	13.87	14.93	33.87	50.13	16.00
>sp|P16333|NCK1_HUMAN	 42816.00 	377	28.91	19.89	11.67	36.87	33.69	29.44	14.86	14.06	29.44	56.76	13.79
>sp|P51991|ROA3_HUMAN	 39552.00 	378	26.19	8.99	12.96	32.01	50.79	17.20	15.08	11.11	45.50	35.71	18.78
>sp|P0A9A6|FTSZ_ECOLI	 40278.00 	383	24.02	23.24	4.96	31.07	38.12	30.81	9.92	14.10	39.95	51.18	8.88
>sp|P01012|OVAL_CHICK	 42832.00 	386	23.06	22.80	10.36	29.53	35.75	34.71	10.88	12.18	32.90	54.66	12.44
>sp|P31483|TIA1_HUMAN	 42915.00 	386	18.39	14.25	13.21	31.09	42.49	26.43	10.36	8.03	35.23	50.26	14.51
>sp|P38159|RBMX_HUMAN	 42286.00 	391	30.69	6.65	9.46	32.23	57.29	10.48	18.67	12.02	46.80	29.92	23.27
>sp|P04637|P53_HUMAN	 43604.00 	393	27.48	14.76	9.16	31.81	44.02	24.17	14.76	12.72	34.86	52.42	12.72
>sp|O75177|CREST_HUMAN	 42944.00 	396	10.86	8.84	11.87	31.06	55.05	13.89	6.06	4.80	39.14	49.49	11.36
>sp|P0AEX9|MALE_ECOLI	 43338.00 	396	25.25	19.95	10.61	32.07	39.65	28.28	12.37	12.88	35.86	52.53	11.62
